year,nome,month,Number of Fires,date
2006,AMAPA,May,0,2006-01-01
2007,AMAPA,May,0,2007-01-01
2008,AMAPA,May,0,2008-01-01
2009,AMAPA,May,2,2009-01-01
2010,AMAPA,May,2,2010-01-01
2011,AMAPA,May,2,2011-01-01
2012,AMAPA,May,2,2012-01-01
2013,AMAPA,May,0,2013-01-01
2014,AMAPA,May,0,2014-01-01
2015,AMAPA,May,0,2015-01-01
2016,AMAPA,May,1,2016-01-01
2017,AMAPA,May,1,2017-01-01
1998,AMAPA,June,0,1998-01-01
1999,AMAPA,June,2,1999-01-01
2000,AMAPA,June,0,2000-01-01
2001,AMAPA,June,0,2001-01-01
2002,AMAPA,June,0,2002-01-01
2003,AMAPA,June,0,2003-01-01
2004,AMAPA,June,5,2004-01-01
2005,AMAPA,June,2,2005-01-01
2006,AMAPA,June,0,2006-01-01
2007,AMAPA,June,0,2007-01-01
2008,AMAPA,June,0,2008-01-01
2009,AMAPA,June,1,2009-01-01
2010,AMAPA,June,0,2010-01-01
2011,AMAPA,June,0,2011-01-01
2012,AMAPA,June,7,2012-01-01
2013,AMAPA,June,1,2013-01-01
2014,AMAPA,June,0,2014-01-01
2015,AMAPA,June,3,2015-01-01
2016,AMAPA,June,2,2016-01-01
2017,AMAPA,June,2,2017-01-01
1998,AMAPA,July,0,1998-01-01
1999,AMAPA,July,0,1999-01-01
2000,AMAPA,July,0,2000-01-01
2001,AMAPA,July,1,2001-01-01
2002,AMAPA,July,1,2002-01-01
2003,AMAPA,July,0,2003-01-01
2004,AMAPA,July,2,2004-01-01
2005,AMAPA,July,0,2005-01-01
2006,AMAPA,July,0,2006-01-01
2007,AMAPA,July,0,2007-01-01
2008,AMAPA,July,0,2008-01-01
2009,AMAPA,July,4,2009-01-01
2010,AMAPA,July,2,2010-01-01
2011,AMAPA,July,5,2011-01-01
2012,AMAPA,July,3,2012-01-01
2013,AMAPA,July,1,2013-01-01
2014,AMAPA,July,4,2014-01-01
2015,AMAPA,July,5,2015-01-01
2016,AMAPA,July,1,2016-01-01
2017,AMAPA,July,3,2017-01-01
1998,AMAPA,August,1,1998-01-01
1999,AMAPA,August,0,1999-01-01
2000,AMAPA,August,3,2000-01-01
2001,AMAPA,August,12,2001-01-01
2002,AMAPA,August,18,2002-01-01
2003,AMAPA,August,14,2003-01-01
2004,AMAPA,August,9,2004-01-01
2005,AMAPA,August,4,2005-01-01
2006,AMAPA,August,11,2006-01-01
2007,AMAPA,August,5,2007-01-01
2008,AMAPA,August,4,2008-01-01
2009,AMAPA,August,20,2009-01-01
2010,AMAPA,August,1,2010-01-01
2011,AMAPA,August,16,2011-01-01
2012,AMAPA,August,19,2012-01-01
2013,AMAPA,August,9,2013-01-01
2014,AMAPA,August,18,2014-01-01
2015,AMAPA,August,40,2015-01-01
2016,AMAPA,August,37,2016-01-01
2017,AMAPA,August,33,2017-01-01
1998,AMAPA,September,20,1998-01-01
1999,AMAPA,September,4,1999-01-01
2000,AMAPA,September,19,2000-01-01
2001,AMAPA,September,95,2001-01-01
2002,AMAPA,September,73,2002-01-01
2003,AMAPA,September,88,2003-01-01
2004,AMAPA,September,67,2004-01-01
2005,AMAPA,September,97,2005-01-01
2006,AMAPA,September,112,2006-01-01
2007,AMAPA,September,61,2007-01-01
2008,AMAPA,September,83,2008-01-01
2009,AMAPA,September,188,2009-01-01
2010,AMAPA,September,63,2010-01-01
2011,AMAPA,September,128,2011-01-01
2012,AMAPA,September,168,2012-01-01
2013,AMAPA,September,85,2013-01-01
2014,AMAPA,September,137,2014-01-01
2015,AMAPA,September,192,2015-01-01
2016,AMAPA,September,142,2016-01-01
2017,AMAPA,September,95,2017-01-01
1998,AMAPA,October,42,1998-01-01
1999,AMAPA,October,25,1999-01-01
2000,AMAPA,October,42,2000-01-01
2001,AMAPA,October,194,2001-01-01
2002,AMAPA,October,557,2002-01-01
2003,AMAPA,October,355,2003-01-01
2004,AMAPA,October,412,2004-01-01
2005,AMAPA,October,335,2005-01-01
2006,AMAPA,October,405,2006-01-01
2007,AMAPA,October,162,2007-01-01
2008,AMAPA,October,395,2008-01-01
2009,AMAPA,October,765,2009-01-01
2010,AMAPA,October,265,2010-01-01
2011,AMAPA,October,304,2011-01-01
2012,AMAPA,October,475,2012-01-01
2013,AMAPA,October,385,2013-01-01
2014,AMAPA,October,480,2014-01-01
2015,AMAPA,October,827,2015-01-01
2016,AMAPA,October,793,2016-01-01
2017,AMAPA,October,468,2017-01-01
1998,AMAPA,November,131,1998-01-01
1999,AMAPA,November,26,1999-01-01
2000,AMAPA,November,157,2000-01-01
