"","year","state","month","fires","date"
"321",2004,"ALAGOAS",10,12,2004-10-01
"322",2004,"ALAGOAS",11,28,2004-11-01
"323",2004,"ALAGOAS",12,71,2004-12-01
"324",2005,"ALAGOAS",1,83,2005-01-01
"325",2005,"ALAGOAS",2,31,2005-02-01
"326",2005,"ALAGOAS",3,35,2005-03-01
"327",2005,"ALAGOAS",4,1,2005-04-01
"328",2005,"ALAGOAS",5,0,2005-05-01
"329",2005,"ALAGOAS",6,0,2005-06-01
"330",2005,"ALAGOAS",7,0,2005-07-01
"331",2005,"ALAGOAS",8,2,2005-08-01
"332",2005,"ALAGOAS",9,7,2005-09-01
"333",2005,"ALAGOAS",10,17,2005-10-01
"334",2005,"ALAGOAS",11,25,2005-11-01
"335",2005,"ALAGOAS",12,16,2005-12-01
"336",2006,"ALAGOAS",1,29,2006-01-01
"337",2006,"ALAGOAS",2,14,2006-02-01
"338",2006,"ALAGOAS",3,37,2006-03-01
"339",2006,"ALAGOAS",4,2,2006-04-01
"340",2006,"ALAGOAS",5,0,2006-05-01
"341",2006,"ALAGOAS",6,0,2006-06-01
"342",2006,"ALAGOAS",7,0,2006-07-01
"343",2006,"ALAGOAS",8,1,2006-08-01
"344",2006,"ALAGOAS",9,4,2006-09-01
"345",2006,"ALAGOAS",10,32,2006-10-01
"346",2006,"ALAGOAS",11,12,2006-11-01
"347",2006,"ALAGOAS",12,30,2006-12-01
"348",2007,"ALAGOAS",1,33,2007-01-01
"349",2007,"ALAGOAS",2,28,2007-02-01
"350",2007,"ALAGOAS",3,7,2007-03-01
"351",2007,"ALAGOAS",4,1,2007-04-01
"352",2007,"ALAGOAS",5,0,2007-05-01
"353",2007,"ALAGOAS",6,0,2007-06-01
"354",2007,"ALAGOAS",7,0,2007-07-01
"355",2007,"ALAGOAS",8,3,2007-08-01
"356",2007,"ALAGOAS",9,2,2007-09-01
"357",2007,"ALAGOAS",10,6,2007-10-01
"358",2007,"ALAGOAS",11,15,2007-11-01
"359",2007,"ALAGOAS",12,33,2007-12-01
"360",2008,"ALAGOAS",1,55,2008-01-01
"361",2008,"ALAGOAS",2,74,2008-02-01
"362",2008,"ALAGOAS",3,31,2008-03-01
"363",2008,"ALAGOAS",4,18,2008-04-01
"364",2008,"ALAGOAS",5,0,2008-05-01
"365",2008,"ALAGOAS",6,0,2008-06-01
"366",2008,"ALAGOAS",7,0,2008-07-01
"367",2008,"ALAGOAS",8,1,2008-08-01
"368",2008,"ALAGOAS",9,9,2008-09-01
"369",2008,"ALAGOAS",10,18,2008-10-01
"370",2008,"ALAGOAS",11,37,2008-11-01
"371",2008,"ALAGOAS",12,34,2008-12-01
"372",2009,"ALAGOAS",1,104,2009-01-01
"373",2009,"ALAGOAS",2,32,2009-02-01
"374",2009,"ALAGOAS",3,31,2009-03-01
"375",2009,"ALAGOAS",4,5,2009-04-01
"376",2009,"ALAGOAS",5,0,2009-05-01
"377",2009,"ALAGOAS",6,0,2009-06-01
"378",2009,"ALAGOAS",7,0,2009-07-01
"379",2009,"ALAGOAS",8,0,2009-08-01
"380",2009,"ALAGOAS",9,13,2009-09-01
"381",2009,"ALAGOAS",10,30,2009-10-01
"382",2009,"ALAGOAS",11,55,2009-11-01
"383",2009,"ALAGOAS",12,55,2009-12-01
"384",2010,"ALAGOAS",1,23,2010-01-01
"385",2010,"ALAGOAS",2,26,2010-02-01
"386",2010,"ALAGOAS",3,70,2010-03-01
"387",2010,"ALAGOAS",4,3,2010-04-01
"388",2010,"ALAGOAS",5,0,2010-05-01
"389",2010,"ALAGOAS",6,0,2010-06-01
"390",2010,"ALAGOAS",7,2,2010-07-01
"391",2010,"ALAGOAS",8,1,2010-08-01
"392",2010,"ALAGOAS",9,5,2010-09-01
"393",2010,"ALAGOAS",10,16,2010-10-01
"394",2010,"ALAGOAS",11,31,2010-11-01
"395",2010,"ALAGOAS",12,45,2010-12-01
"396",2011,"ALAGOAS",1,41,2011-01-01
"397",2011,"ALAGOAS",2,33,2011-02-01
"398",2011,"ALAGOAS",3,34,2011-03-01
"399",2011,"ALAGOAS",4,17,2011-04-01
"400",2011,"ALAGOAS",5,0,2011-05-01
"401",2011,"ALAGOAS",6,2,2011-06-01
"402",2011,"ALAGOAS",7,0,2011-07-01
"403",2011,"ALAGOAS",8,4,2011-08-01
"404",2011,"ALAGOAS",9,5,2011-09-01
"405",2011,"ALAGOAS",10,23,2011-10-01
"406",2011,"ALAGOAS",11,23,2011-11-01
"407",2011,"ALAGOAS",12,50,2011-12-01
